id(question),id,uuid,content
706125,732272,6641,Consumer Requests Regarding the Sale of Personal Information
706125,732270,6639,Collecting Consumers' Personal Information
706125,732271,6640,Consumer Requests Regarding the Collection or Deletion of Personal Information
706125,732273,6642,Disclosing Consumers' Personal Information to a Service Provider
706125,732274,6643,Financial Incentive Offers
706125,732275,6644,Processing Consumers' Personal Information
706125,732289,6645,Selling Consumers' Personal Information
706124,732258,6636,Consumer
706124,732257,6635,Business
706124,732259,6637,Service Provider
706124,732269,6638,Third Party
