id(requirement),requirement.summary,requirement.aic,requirement.uuid,requirement.frequency
467073,Informing Consumers about Information Collected and Responding to Requests,RIC,9cf4ded8-84bd-4a49-bc1d-8fff3bc5510e,No Frequency
467401,Right to Request Deletion of Personal Information,RM,2c3311e9-fe91-4901-b902-b889927f8c80,No Frequency
466594,Conditions for Exemption from Compliance,RIC,e6992b3d-5edb-4a04-a505-0c5ab53141bf,No Frequency
467308,Right to Request Disclosure or Access of Information,RM,ad6a0079-91dc-4252-90c5-53ee957cf6ce,No Frequency
466714,Disclosure of Information for a Business Purpose,RIC,d26f4dbd-7c96-4929-af4e-e160598a5ad0,No Frequency
467674,Conditions for Third Parties to Sell Consumer's Personal Information,RIC,cbcca6f0-0228-4ffd-b87d-e11b95700e6e,No Frequency
467575,Consumers' opt out rights regarding the Sale of Personal Information,RIC,8c655bc2-cd00-4ccb-97ea-2cf1f899a8fb,No Frequency
467379,Nondiscrimination upon Exercise of Privacy Rights,RM,aeb7fd53-1dc7-4f74-b123-bbde1537a4cf,No Frequency
466351,Specifications for Offering Incentives for Collection of Personal Information,RIC,3ad84b00-8d7b-41d7-8f17-c9e3b3698d73,No Frequency
467145,Methodology for Handing Consumer Rights Requests,RA,5b958932-9786-4803-9961-049f9eea20a7,annually
467693,Opt out Rights and Requests for Personal Information Sales,RIC,e940189d-b446-4507-97b8-b9df9cceb131,No Frequency
467633,Opt out Requests by an Authorized Person,RIC,4a55254b-c126-4252-b8fe-3822babf28d5,No Frequency
466717,Notices to Consumers for New or Changed Practices,RIC,a2657da5-aee3-4ec7-ad4d-6463b3e3e68f,No Frequency
467421,Restrictions on Handling Research with Personal Information Collected from Consumers,RM,dbe769c6-60c9-44c8-b2d3-8e1982b845d2,No Frequency
467360,Specifications for Responding to Consumer Rights Requests,RIC,f71c3baf-3882-4fb9-aa4e-8d1df805059b,No Frequency
467053,Disclosures to Certain Service Providers,RIC,2e094c1f-14b6-4904-b819-241e18f1f164,No Frequency
466734,Consumer Right of Private Action,RIC,e080ce65-0347-4045-b824-96f9dfc11d91,No Frequency
