id(rule),rule.relational_type,rule.number,rule.uuid,rule.slug
458181,Rule,1798.100.,92504378-2a61-45ad-ba1f-3a7c5a780ee5,california-consumer-privacy-act-1798-100
454000,Rule,1798.105.,ce3a2e56-87b8-467f-a2ae-7d0ac5bdc148,california-consumer-privacy-act-1798-105
467692,Rule,1798.105.(d),18f30083-88ce-47d7-ad7e-e8be24393cd8,california-consumer-privacy-act-1798-105-d
454360,Rule,1798.110.,cbaaceec-3eb0-47b1-8388-6e1237fb021d,california-consumer-privacy-act-1798-110
458067,Rule,1798.115.,dfd6b172-7546-4db1-a0ae-37cbec2e1ee0,california-consumer-privacy-act-1798-115
467615,Rule,1798.115.(d),2f52e792-09dd-473a-983c-878ab9470e99,california-consumer-privacy-act-1798-115-d
457995,Rule,1798.120.,99b802c3-8cc2-4b29-9d00-8993a4cf5847,california-consumer-privacy-act-1798-120
466387,Rule,1798.125.(a)(1),ea30b25f-ae82-430f-89bf-5ae5c854fa5a,california-consumer-privacy-act-1798-125-a-1
467144,Rule,1798.125.(b),e643e851-0e8b-4c35-b9af-343ef8dbea9f,california-consumer-privacy-act-1798-125-b
454020,Rule,1798.130.,0dcf8d36-718d-49b6-ad77-40cb26b076df,california-consumer-privacy-act-1798-130
467419,Rule,1798.135.(a),6e93ed6d-acc3-430c-8cf2-a58af8b257b1,california-consumer-privacy-act-1798-135-a
466559,Rule,1798.135.(c),0da149c6-4199-4455-beed-71ced9bbc9e6,california-consumer-privacy-act-1798-135-c
466333,Rule,1798.140.(t)(2)(D),ec1fc187-4831-4dc2-bf72-80d708901e34,california-consumer-privacy-act-1798-140-t-2-d
467616,Rule,1798.140.(s),4d1ffef3-2767-465f-aff5-7162c71caedc,california-consumer-privacy-act-1798-140-s
467655,Rule,1798.145.(g),b48d32f3-408f-47e1-bd05-c83d0dbfa030,california-consumer-privacy-act-1798-145-g
466775,Rule,1798.145.(h),89da9e83-60e3-4025-8dc2-87e0401379c1,california-consumer-privacy-act-1798-145-h
457950,Rule,1798.150.,5027b632-0722-4ac1-96ce-25f073668037,california-consumer-privacy-act-1798-150
